"Disorder id","Disorder name","Human gene symbol","Mouse model description","PhenoDigm % score","Matching human phenotypes","Matching mouse phenotypes"
"OMIM:105210","Amyloidosis, Hereditary, Transthyretin-Related","TTR","Ttr<em1(IMPC)H> hom early",25.42,"HP:0002070,HP:0002078,HP:0001251","MP:0001402"
"OMIM:105830","Angelman Syndrome","UBE3A","Ube3a<em1(IMPC)Hmgu> het early",29.285,"HP:0007240,HP:0001251,HP:0000752,HP:0002136","MP:0011940,MP:0001402"
"OMIM:105830","Angelman Syndrome","UBE3A","Ube3a<em1(IMPC)Hmgu> hom early",44.875,"HP:0000752,HP:0001251,HP:0007240,HP:0040082,HP:0002136","MP:0002757,MP:0001399,MP:0001417,MP:0001402,MP:0011940"
"OMIM:106210","Aniridia 1","PAX6","Pax6<em1(IMPC)Mbp> het early",60.77,"HP:0000518,HP:0007750,HP:0009918,HP:0001083,HP:0033743,HP:0200020,HP:0010923,HP:0000609,HP:0007676,HP:0000526,HP:0007759,HP:0011496","MP:0001314,MP:0001297,MP:0005542,MP:0001293"
"OMIM:106210","Aniridia 1","PAX6","Pax6<em1(IMPC)Mbp> het embryo",27.325,"HP:0007750,HP:0033743,HP:0000609,HP:0007676,HP:0000526","MP:0001297"
"OMIM:106210","Aniridia 1","PAX6","Pax6<em1(IMPC)Mbp> hom embryo",27.17,"HP:0007750,HP:0033743,HP:0000609,HP:0007676,HP:0000526","MP:0001293"
"OMIM:106600","Tooth Agenesis, Selective, 1","MSX1","Msx1<tm1b(KOMP)Wtsi> hom embryo",53.78,"HP:0000668","MP:0000111"
"OMIM:108720","Atelosteogenesis, Type I","FLNB","Flnb<tm1b(KOMP)Wtsi> het early",16.145,"HP:0002949","MP:0000063"
"OMIM:108720","Atelosteogenesis, Type I","FLNB","Flnb<tm1b(KOMP)Wtsi> hom early",22.04,"HP:0003826,HP:0003811","MP:0011100"
"OMIM:108985","Sveinsson Chorioretinal Atrophy","TEAD1","Tead1<tm1a(KOMP)Wtsi> het early",61.175,"HP:0000483,HP:0007950","MP:0001325,MP:0005543"
"OMIM:108985","Sveinsson Chorioretinal Atrophy","TEAD1","Tead1<tm1b(KOMP)Wtsi> het early",44.37,"HP:0000483","MP:0011960,MP:0005543"
"OMIM:112240","Cole-Carpenter Syndrome 1","P4HB","P4hb<tm1b(KOMP)Wtsi> hom embryo",18.085,"HP:0004322","MP:0003984"
"OMIM:112310","Boomerang Dysplasia","FLNB","Flnb<tm1b(KOMP)Wtsi> hom early",25.305,"HP:0003811","MP:0011100"
"OMIM:112600","Brachydactyly, Type A2","GDF5","Gdf5<em1(IMPC)H> hom early",48.65,"HP:0008096,HP:0001822,HP:0009568,HP:0004209,HP:0004220,HP:0009575,HP:0009182,HP:0004691,HP:0009464,HP:0010055,HP:0009536,HP:0010109,HP:0009161,HP:0009467","MP:0002110,MP:0000572"
"OMIM:112600","Brachydactyly, Type A2","BMPR1B","Bmpr1b<em1(IMPC)Mbp> hom early",33.905,"HP:0008096,HP:0001822,HP:0009568,HP:0004209,HP:0004220,HP:0009575,HP:0009182,HP:0004691,HP:0009464,HP:0010055,HP:0009536,HP:0010109,HP:0009161,HP:0009467","MP:0000572"
"OMIM:113000","Brachydactyly, Type B1","ROR2","Ror2<em1(IMPC)Mbp> hom embryo",42.28,"HP:0012385,HP:0009835,HP:0005831,HP:0001159,HP:0000696,HP:0005819,HP:0011304,HP:0003026,HP:0010185,HP:0010554,HP:0009473","MP:0000562,MP:0000111"
"OMIM:113100","Brachydactyly, Type C","GDF5","Gdf5<em1(IMPC)H> hom early",61.03,"HP:0009463,HP:0009527,HP:0006206,HP:0009417,HP:0009439,HP:0003067,HP:0009324,HP:0009331,HP:0010034,HP:0009534,HP:0001156,HP:0009436,HP:0009356,HP:0009577,HP:0009536,HP:0009516,HP:0009456,HP:0009523,HP:0009587,HP:0004220,HP:0001162,HP:0009464,HP:0001762,HP:0009495,HP:0010259,HP:0032078,HP:0009349,HP:0009461,HP:0009575,HP:0011929,HP:0004209","MP:0002110,MP:0000572"
"OMIM:113750","Albinism, Oculocutaneous, Type Vi","SLC24A5","Slc24a5<tm1b(KOMP)Mbp> hom early",30.93,"HP:0007750","MP:0001325"
"OMIM:114500","Colorectal Cancer","AXIN2","Axin2<tm1b(KOMP)Wtsi> hom embryo",16.28,"HP:0006716,HP:0006753","MP:0009908"
"OMIM:115196","Cardiomyopathy, Familial Hypertrophic, 3","TPM1","Tpm1<tm1a(EUCOMM)Wtsi> het early",27.665,"HP:0001639","MP:0002833"
"OMIM:115197","Cardiomyopathy, Familial Hypertrophic, 4","MYBPC3","Mybpc3<tm1a(EUCOMM)Hmgu> hom early",45.035,"HP:0002240,HP:0001714,HP:0030718,HP:0011623,HP:0031318,HP:0001698,HP:0001639,HP:0001640,HP:0005144","MP:0000266,MP:0002833"
"OMIM:115310","Paragangliomas 4","SDHB","Sdhb<tm1b(EUCOMM)Hmgu> het early",11.155,"HP:0011976","MP:0002135"
"OMIM:116800","Cataract 5, Multiple Types","HSF4","Hsf4<tm1b(KOMP)Wtsi> hom early",54.545,"HP:0010920,HP:0010693,HP:0007971,HP:0001134,HP:0100018","MP:0005102,MP:0001312,MP:0001303,MP:0001319,MP:0001304"
"OMIM:116860","Cerebral Cavernous Malformations","KRIT1","Krit1<tm1.1(KOMP)Vlcg> het early",23.47,"HP:0007797","MP:0001333"
"OMIM:117210","Spinocerebellar Ataxia 31","BEAN1","Bean1<em1(IMPC)H> hom early",54.05,"HP:0002066,HP:0002070,HP:0001251","MP:0001406"
"OMIM:118100","Klippel-Feil Syndrome 1, Autosomal Dominant","GDF6","Gdf6<em1(IMPC)Ccpcz> het early",26.255,"HP:0002813","MP:0002110"
"OMIM:118200","Charcot-Marie-Tooth Disease, Demyelinating, Type 1B","MPZ","Mpz<em1(IMPC)Tcp> hom early",38.34,"HP:0003376","MP:0001402,MP:0001406"
"OMIM:118210","Charcot-Marie-Tooth Disease, Axonal, Type 2A1","KIF1B","Kif1b<tm1b(KOMP)Wtsi> het early",29.655,"HP:0003376","MP:0002574"
"OMIM:119600","Cleidocranial Dysplasia 1","RUNX2","Runx2<em1(IMPC)Rbrc> het early",52.055,"HP:0003304,HP:0002650,HP:0002827,HP:0003302,HP:0011069,HP:0010230,HP:0002812,HP:0001156,HP:0000882,HP:0006660,HP:0100864,HP:0009577,HP:0003183,HP:0002866,HP:0000894,HP:0004220,HP:0008788,HP:0000347,HP:0011001,HP:0006040,HP:0002808,HP:0000696,HP:0006297,HP:0000680","MP:0000137,MP:0005296,MP:0004599,MP:0003795,MP:0005298,MP:0005270,MP:0004509,MP:0010124"
"OMIM:119800","Clubfoot, Congenital, With Or Without Deficiency Of Long Bones And/Or Mirror-Image Polydactyly","PITX1","Pitx1<em1(IMPC)Wtsi> het early",52.06,"HP:0009556,HP:0001776,HP:0003065,HP:0001841,HP:0010691,HP:0009756,HP:0001762","MP:0002110,MP:0001312,MP:0004083,MP:0000572,MP:0002932,MP:0008730,MP:0000558,MP:0000559"
"OMIM:119800","Clubfoot, Congenital, With Or Without Deficiency Of Long Bones And/Or Mirror-Image Polydactyly","PITX1","Pitx1<em1(IMPC)Wtsi> hom early",23.565,"HP:0003826","MP:0011100"
"OMIM:120200","Coloboma, Ocular, Autosomal Dominant","PAX6","Pax6<em1(IMPC)Mbp> het early",51.13,"HP:0007957,HP:0000659,HP:0012521,HP:0000568","MP:0001314,MP:0001297,MP:0005542,MP:0001293"
"OMIM:120200","Coloboma, Ocular, Autosomal Dominant","PAX6","Pax6<em1(IMPC)Mbp> het embryo",43.87,"HP:0012521,HP:0000568","MP:0001297"
"OMIM:120200","Coloboma, Ocular, Autosomal Dominant","PAX6","Pax6<em1(IMPC)Mbp> hom embryo",35.88,"HP:0012521,HP:0000568","MP:0001293"
"OMIM:120970","Cone-Rod Dystrophy 2","CRX","Crx<em1(IMPC)Ccpcz> hom early",37.62,"HP:0000548,HP:0011509,HP:0007737,HP:0007722,HP:0000533","MP:0001325"
"OMIM:121050","Contractural Arachnodactyly, Congenital","FBN2","Fbn2<em1(IMPC)Rbrc> hom early",51.61,"HP:0002650,HP:0001629,HP:0001631,HP:0002999,HP:0005879,HP:0001634,HP:0003066,HP:0002751,HP:0012385,HP:0009465,HP:0001083,HP:0001653,HP:0000470,HP:0005684,HP:0006380,HP:0000938,HP:0001181,HP:0008453,HP:0006487,HP:0001377,HP:0003273,HP:0000347,HP:0001239,HP:0001166,HP:0001762,HP:0010499,HP:0001647,HP:0000768,HP:0001840,HP:0002987","MP:0002110,MP:0000266,MP:0000458,MP:0000572,MP:0003795,MP:0005542,MP:0000274,MP:0000559,MP:0000150,MP:0002187,MP:0000558,MP:0004609,MP:0010570,MP:0010123,MP:0006241,MP:0000564,MP:0004599,MP:0002932,MP:0005298,MP:0005270,MP:0001314,MP:0005296,MP:0005108,MP:0004509,MP:0000552"
"OMIM:121050","Contractural Arachnodactyly, Congenital","FBN2","Fbn2<em1(IMPC)Rbrc> hom late",24.645,"HP:0001631,HP:0001634,HP:0001647,HP:0001629","MP:0000274,MP:0000266,MP:0004857"
"OMIM:123320","Creatine Phosphokinase, Elevated Serum","CAV3","Cav3<em1(IMPC)Kmpc> hom early",18.065,"HP:0003236","MP:0000182"
"OMIM:124000","Mitochondrial Complex Iii Deficiency, Nuclear Type 1","BCS1L","Bcs1l<tm1.1(KOMP)Vlcg> hom early",19.5,"HP:0003811","MP:0011100"
"OMIM:124000","Mitochondrial Complex Iii Deficiency, Nuclear Type 1","BCS1L","Bcs1l<tm1.1(KOMP)Vlcg> hom embryo",18.71,"HP:0003811","MP:0013292,MP:0013293"
"OMIM:125310","Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts And Leukoencephalopathy, Type 1","NOTCH3","Notch3<tm1.1(KOMP)Vlcg> hom early",15.96,"HP:0000020","MP:0002135,MP:0003068"
"OMIM:125595","Dermatopathia Pigmentosa Reticularis","KRT14","Krt14<tm1.1(KOMP)Vlcg> het embryo",15.77,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:125595","Dermatopathia Pigmentosa Reticularis","KRT14","Krt14<tm1.1(KOMP)Vlcg> hom embryo",15.77,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:125850","Maturity-Onset Diabetes Of The Young, Type 1","HNF4A","Hnf4a<tm1b(EUCOMM)Hmgu> het late",80.035,"HP:0004904","MP:0005292,MP:0005355"
"OMIM:125851","Maturity-Onset Diabetes Of The Young, Type 2","GCK","Gck<em1(IMPC)H> het early",76.27,"HP:0004904","MP:0005559,MP:0013279,MP:0005293"
"OMIM:125853","Type 2 Diabetes Mellitus","MTNR1B","Mtnr1b<tm1.1(KOMP)Vlcg> hom early",70.44,"HP:0005978,HP:0000855","MP:0005292,MP:0013279"
"OMIM:125853","Type 2 Diabetes Mellitus","SLC2A2","Slc2a2<tm1b(KOMP)Wtsi> het early",51.13,"HP:0005978,HP:0000855","MP:0013279"
"OMIM:125853","Type 2 Diabetes Mellitus","PDX1","Pdx1<tm1b(EUCOMM)Wtsi> het early",69.655,"HP:0005978,HP:0000855","MP:0005293"
"OMIM:125853","Type 2 Diabetes Mellitus","HNF4A","Hnf4a<tm1b(EUCOMM)Hmgu> het late",67.215,"HP:0005978,HP:0000855","MP:0005292,MP:0005355"
"OMIM:125853","Type 2 Diabetes Mellitus","HNF4A","Hnf4a<tm1b(EUCOMM)Hmgu> het middle",38.66,"HP:0031819","MP:0001262"
"OMIM:125853","Type 2 Diabetes Mellitus","PPARG","Pparg<tm1b(KOMP)Wtsi> het early",44.845,"HP:0005978,HP:0000855","MP:0013279"
"OMIM:125853","Type 2 Diabetes Mellitus","KCNJ11","Kcnj11<tm1b(EUCOMM)Wtsi> hom early",60.535,"HP:0005978,HP:0000855","MP:0013278,MP:0005293"
"OMIM:125853","Type 2 Diabetes Mellitus","AKT2","Akt2<tm1Wcs> het early",32.14,"HP:0031819","MP:0001262"
"OMIM:125853","Type 2 Diabetes Mellitus","AKT2","Akt2<tm1Wcs> hom early",49.495,"HP:0031819,HP:0005978,HP:0000855","MP:0002078,MP:0005559,MP:0001262"
"OMIM:125853","Type 2 Diabetes Mellitus","GCK","Gck<em1(IMPC)H> het early",62.545,"HP:0005978,HP:0000855","MP:0005559,MP:0013279,MP:0005293"
"OMIM:125853","Type 2 Diabetes Mellitus","ABCC8","Abcc8<em1(IMPC)J> hom early",62.875,"HP:0005978,HP:0000855","MP:0005293"
"OMIM:128200","Episodic Kinesigenic Dyskinesia 1","PRRT2","Prrt2<tm1b(KOMP)Wtsi> hom early",38.85,"HP:0002268,HP:0007098","MP:0001489"
"OMIM:128235","Dystonia 12","ATP1A3","Atp1a3<tm1b(EUCOMM)Hmgu> het early",59.235,"HP:0000712,HP:0002317,HP:0000739,HP:0002015,HP:0000716","MP:0001392,MP:0001415,MP:0001399,MP:0001364"
"OMIM:130720","Lateral Meningocele Syndrome","NOTCH3","Notch3<tm1.1(KOMP)Vlcg> hom early",23.655,"HP:0001647,HP:0000011,HP:0001629","MP:0002135,MP:0000266,MP:0003068,MP:0000274,MP:0002833"
"OMIM:131760","Epidermolysis Bullosa Simplex 1A, Generalized Severe","KRT14","Krt14<tm1.1(KOMP)Vlcg> het embryo",17.825,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:131760","Epidermolysis Bullosa Simplex 1A, Generalized Severe","KRT14","Krt14<tm1.1(KOMP)Vlcg> hom embryo",17.825,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:131800","Epidermolysis Bullosa Simplex 1C, Localized","KRT14","Krt14<tm1.1(KOMP)Vlcg> het embryo",22.385,"HP:0007446","MP:0000564,MP:0000562"
"OMIM:131800","Epidermolysis Bullosa Simplex 1C, Localized","KRT14","Krt14<tm1.1(KOMP)Vlcg> hom embryo",22.385,"HP:0007446","MP:0000564,MP:0000562"
"OMIM:131900","Epidermolysis Bullosa Simplex 1B, Generalized Intermediate","KRT14","Krt14<tm1.1(KOMP)Vlcg> het embryo",18.235,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:131900","Epidermolysis Bullosa Simplex 1B, Generalized Intermediate","KRT14","Krt14<tm1.1(KOMP)Vlcg> hom embryo",18.235,"HP:0000972","MP:0000564,MP:0000562"
"OMIM:133200","Erythrokeratodermia Variabilis Et Progressiva 1","GJB3","Gjb3<tm1.1(KOMP)Vlcg> het embryo",15.905,"HP:0005588","MP:0000564"
"OMIM:133200","Erythrokeratodermia Variabilis Et Progressiva 1","GJB3","Gjb3<tm1.1(KOMP)Vlcg> hom embryo",13.955,"HP:0005588","MP:0000564"
"OMIM:134600","Fanconi Renotubular Syndrome 1","GATM","Gatm<tm1b(KOMP)Wtsi> hom early",42.29,"HP:0002148,HP:0002900","MP:0002966,MP:0005179,MP:0005343,MP:0005627,MP:0008806"
"OMIM:135900","Coffin-Siris Syndrome 1","ARID1B","Arid1b<em1(IMPC)Tcp> het early",26.825,"HP:0002066,HP:0000718","MP:0001402,MP:0020421,MP:0001417,MP:0020420"
"OMIM:136520","Foveal Hypoplasia 1","PAX6","Pax6<em1(IMPC)Mbp> het early",46.78,"HP:0007819,HP:0007750","MP:0001314,MP:0001297,MP:0005542,MP:0001293"
"OMIM:136520","Foveal Hypoplasia 1","PAX6","Pax6<em1(IMPC)Mbp> het embryo",41.32,"HP:0007750","MP:0001297"
"OMIM:136520","Foveal Hypoplasia 1","PAX6","Pax6<em1(IMPC)Mbp> hom embryo",37.645,"HP:0007750","MP:0001293"
"OMIM:136900","Sorsby Fundus Dystrophy","TIMP3","Timp3<tm1.1(KOMP)Vlcg> hom early",50.78,"HP:0000533,HP:0007754","MP:0001325,MP:0010097"
"OMIM:137200","Neuromyotonia And Axonal Neuropathy, Autosomal Recessive","HINT1","Hint1<tm1a(EUCOMM)Wtsi> hom early",36.66,"HP:0002380","MP:0000745"
"OMIM:137600","Anterior Segment Dysgenesis 4","PITX2","Pitx2<tm1b(EUCOMM)Wtsi> het early",51.74,"HP:0007990,HP:0000164,HP:0007730","MP:0002100,MP:0001314,MP:0001319"
"OMIM:139090","Gray Platelet Syndrome","NBEAL2","Nbeal2<tm1a(EUCOMM)Wtsi> hom early",56.895,"HP:0011872,HP:0001873,HP:0011974,HP:0008320,HP:0001744,HP:0012528","MP:0002599,MP:0000218,MP:0000063,MP:0010124,MP:0003179"
"OMIM:141500","Migraine, Familial Hemiplegic, 1","CACNA1A","Cacna1a<em1(IMPC)H> het early",50.72,"HP:0000739","MP:0020421"
"OMIM:142669","Beukes Hip Dysplasia","UFSP2","Ufsp2<em1(IMPC)Mbp> het embryo",40.165,"HP:0001385,HP:0005743,HP:0005041,HP:0006429,HP:0008783,HP:0003182,HP:0003370","MP:0000564,MP:0000562"
"OMIM:142680","Periodic Fever, Familial, Autosomal Dominant","TNFRSF1A","Tnfrsf1a<em1(IMPC)Ccpcz> hom early",18.18,"HP:0002240","MP:0000274"
"OMIM:143200","Wagner Vitreoretinopathy","VCAN","Vcan<em2(IMPC)Mbp> het early",30.955,"HP:0000648,HP:0007643,HP:0007722","MP:0001289"
"OMIM:143890","Hypercholesterolemia, Familial, 1","LDLR","Ldlr<tm1b(EUCOMM)Wtsi> hom early",32.29,"HP:0003141,HP:0001114","MP:0011897,MP:0001556,MP:0008810,MP:0005178"
"OMIM:143890","Hypercholesterolemia, Familial, 1","PPP1R17","Ppp1r17<em1(IMPC)H> hom early",20.635,"HP:0003141","MP:0002966"
"OMIM:145350","Hypotaurinemic Retinal Degeneration And Cardiomyopathy","SLC6A6","Slc6a6<em1(IMPC)Mbp> hom early",28.685,"HP:0007401,HP:0025169,HP:0200070,HP:0007814,HP:0030329,HP:0001644,HP:0007843,HP:0030609","MP:0005333,MP:0006243,MP:0010506"
"OMIM:145500","Hypertension, Essential","ATP1B1","Atp1b1<em1(IMPC)Mbp> het early",34.03,"HP:0005117,HP:0004972,HP:0004421","MP:0006203"
"OMIM:145900","Hypertrophic Neuropathy Of Dejerine-Sottas","MPZ","Mpz<em1(IMPC)Tcp> hom early",40.01,"HP:0001308,HP:0003376,HP:0002136","MP:0000745,MP:0001402,MP:0001406"
"OMIM:145980","Hypocalciuric Hypercalcemia, Familial, Type I","CASR","Casr<tm1b(KOMP)Mbp> het early",31.03,"HP:0000843,HP:0001733,HP:0002897","MP:0001944"
"OMIM:145981","Hypocalciuric Hypercalcemia, Familial, Type Ii","GNA11","Gna11<tm1a(EUCOMM)Wtsi> hom early",52.925,"HP:0002918,HP:0003072","MP:0002941,MP:0008805,MP:0000194,MP:0000198"
"OMIM:145981","Hypocalciuric Hypercalcemia, Familial, Type Ii","GNA11","Gna11<tm1b(EUCOMM)Wtsi> hom early",19.455,"HP:0000934","MP:0004609"
"OMIM:146200","Hypoparathyroidism, Familial Isolated, 1","PTH","Pth<tm1a(EUCOMM)Wtsi> hom early",61.185,"HP:0002199,HP:0002905,HP:0002901","MP:0000195"
"OMIM:147920","Kabuki Syndrome 1","KMT2D","Kmt2d<tm1.2(IMPC)Wtsi> het early",25.8,"HP:0001973,HP:0001878","MP:0005561,MP:0000221,MP:0002875"
"OMIM:147950","Hypogonadotropic Hypogonadism 2 With Or Without Anosmia","FGFR1","Fgfr1<tm1.1(KOMP)Vlcg> hom embryo",19.79,"HP:0000823,HP:0004322","MP:0003984"
"OMIM:148050","Kbg Syndrome","ANKRD11","Ankrd11<Yod> het early",16.73,"HP:0002948","MP:0000063"
"OMIM:148050","Kbg Syndrome","ANKRD11","Ankrd11<tm1b(EUCOMM)Wtsi> het early",11.795,"HP:0000358,HP:0000400,HP:0000411","MP:0004738"
"OMIM:148190","Keratitis, Hereditary","PAX6","Pax6<em1(IMPC)Mbp> het early",53.56,"HP:0000491,HP:0007759","MP:0001314,MP:0005542"
"OMIM:150250","Larsen Syndrome","FLNB","Flnb<tm1b(KOMP)Wtsi> het early",21.79,"HP:0006067,HP:0002779,HP:0001388,HP:0002948","MP:0000063,MP:0010124"
"OMIM:150400","Tooth Agenesis, Selective, 4","WNT10A","Wnt10a<tm1.1(KOMP)Vlcg> hom early",9.465,"HP:0007410","MP:0002764"
"OMIM:151623","Li-Fraumeni Syndrome","TP53","Trp53<tm1b(EUCOMM)Hmgu> hom early",20.3,"HP:0002488","MP:0012362"
"OMIM:151660","Lipodystrophy, Familial Partial, Type 2","LMNA","Lmna<tm1b(EUCOMM)Wtsi> het early",33.425,"HP:0003074,HP:0000831,HP:0005978,HP:0000842","MP:0005292"
"OMIM:152700","Systemic Lupus Erythematosus","DNASE1","Dnase1<tm1.1(KOMP)Vlcg> hom early",24.575,"HP:0000123,HP:0001701,HP:0033726","MP:0000538,MP:0000274,MP:0000266"
"OMIM:154780","Marshall Syndrome","COL11A1","Col11a1<em1(IMPC)Bay> hom embryo",40.53,"HP:0000193,HP:0000175,HP:0000675,HP:0000343,HP:0000215,HP:0000201,HP:0000179","MP:0009908,MP:0000111"
"OMIM:156200","Intellectual Developmental Disorder, Autosomal Dominant 1","MBD5","Mbd5<tm1b(EUCOMM)Wtsi> het early",37.87,"HP:0001385,HP:0001251,HP:0000739,HP:0008081,HP:0000232,HP:0005819,HP:0100716,HP:0004279,HP:0000347,HP:0001852,HP:0000219,HP:0000718,HP:0001773,HP:0004209","MP:0002764,MP:0001402,MP:0001417,MP:0003769"
"OMIM:156400","Metaphyseal Chondrodysplasia, Jansen Type","PTH1R","Pth1r<tm1a(EUCOMM)Hmgu> het early",27.435,"HP:0006380,HP:0003273,HP:0000938","MP:0010124,MP:0010024"
"OMIM:156510","Metaphyseal Dysplasia With Maxillary Hypoplasia With Or Without Brachydactyly","RUNX2","Runx2<em1(IMPC)Rbrc> het early",63.25,"HP:0000926,HP:0004220,HP:0005877,HP:0003015,HP:0009577,HP:0010047,HP:0100255,HP:0005625,HP:0000327","MP:0000137,MP:0005296,MP:0004599,MP:0003795,MP:0005298,MP:0005270,MP:0004509,MP:0010124"
"OMIM:158300","Arthrogryposis, Distal, Type 7","MYH8","Myh8<em1(IMPC)Tcp> het early",28.12,"HP:0001840,HP:0002827,HP:0010621,HP:0001765","MP:0000157"
"OMIM:158320","Muir-Torre Syndrome","MLH1","Mlh1<tm1b(EUCOMM)Hmgu> hom early",17.215,"HP:0100615,HP:0009720","MP:0001147"
"OMIM:158600","Spinal Muscular Atrophy, Lower Extremity-Predominant, 1, Autosomal Dominant","DYNC1H1","Dync1h1<tm1dIcs> het early",39.8,"HP:0002515","MP:0001402"
"OMIM:160150","Myopathy, Centronuclear, 1","MTMR14","Mtmr14<tm1a(KOMP)Wtsi> hom early",44.2,"HP:0008180","MP:0002941,MP:0002944,MP:0005343,MP:0008806"
"OMIM:160150","Myopathy, Centronuclear, 1","DNM2","Dnm2<tm1.1(KOMP)Vlcg> het early",20.365,"HP:0010628","MP:0001102"
"OMIM:160565","Myopathy, Tubular Aggregate, 1","STIM1","Stim1<em1(IMPC)Mbp> het late",28.715,"HP:0000615","MP:0001304"
"OMIM:161000","Naegeli-Franceschetti-Jadassohn Syndrome","KRT14","Krt14<tm1.1(KOMP)Vlcg> het embryo",16.11,"HP:0000982","MP:0000564,MP:0000562"
"OMIM:161000","Naegeli-Franceschetti-Jadassohn Syndrome","KRT14","Krt14<tm1.1(KOMP)Vlcg> hom embryo",16.11,"HP:0000982","MP:0000564,MP:0000562"
"OMIM:162000","Tubulointerstitial Kidney Disease, Autosomal Dominant, 1","UMOD","Umod<urehr4> hom early",40.025,"HP:0002149","MP:0005565"
"OMIM:162400","Neuropathy, Hereditary Sensory And Autonomic, Type Ia","SPTLC1","Sptlc1<em1(IMPC)Bay> het early",31.8,"HP:0000518","MP:0011960,MP:0011962"
"OMIM:162830","Neutrophilia, Hereditary","CSF3R","Csf3r<tm1.1(KOMP)Vlcg> het early",26.92,"HP:0001744","MP:0000274"
"OMIM:163200","Schimmelpenning-Feuerstein-Mims Syndrome","NRAS","Nras<tm1b(EUCOMM)Hmgu> het early",21.62,"HP:0001167,HP:0001780,HP:0004912","MP:0001556,MP:0002764"
"OMIM:164500","Spinocerebellar Ataxia 7","ATXN7","Atxn7<em1(IMPC)Bay> hom early",31.14,"HP:0001337","MP:0001488"
"OMIM:165550","Optic Nerve Hypoplasia, Bilateral","PAX6","Pax6<em1(IMPC)Mbp> het early",24.135,"HP:0012521,HP:0000609","MP:0001297,MP:0001293"
"OMIM:165550","Optic Nerve Hypoplasia, Bilateral","PAX6","Pax6<em1(IMPC)Mbp> het embryo",26.68,"HP:0012521,HP:0000609","MP:0001297"
"OMIM:165550","Optic Nerve Hypoplasia, Bilateral","PAX6","Pax6<em1(IMPC)Mbp> hom embryo",24.64,"HP:0012521,HP:0000609","MP:0001293"
"OMIM:166210","Osteogenesis Imperfecta, Type Ii","COL1A2","Col1a2<tm1b(EUCOMM)Wtsi> hom early",46.3,"HP:0005622,HP:0005855,HP:0006367,HP:0005623,HP:0002982,HP:0002757,HP:0002644","MP:0010123,MP:0005108,MP:0000558,MP:0000559,MP:0000552,MP:0000062"
"OMIM:166220","Osteogenesis Imperfecta, Type Iv","COL1A2","Col1a2<tm1b(EUCOMM)Wtsi> hom early",43.875,"HP:0004349,HP:0003023,HP:0002659,HP:0002757,HP:0005005,HP:0000703","MP:0010123,MP:0005108,MP:0000558,MP:0010025,MP:0000559,MP:0000552,MP:0000062"
